Date Reported to CDC,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Race Sort Order,Visual Figure Number
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.1,111269,1,1
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.1,111269,1,1
03/13/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.6,111269,1,1
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.1,114537,1,1
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.2,114537,1,1
03/20/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,2.9,114537,1,1
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.1,116789,1,1
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.3,116789,1,1
03/27/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,3.3,116789,1,1
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.2,122330,1,1
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.4,122330,1,1
04/03/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,3.9,122330,1,1
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.2,120627,1,1
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.4,120627,1,1
04/10/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,4.8,120627,1,1
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.3,126770,1,1
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.5,126770,1,1
04/17/2021,All Races/Ethnicity,Fully Vaccinated,During Pregnancy,5.7,126770,1,1
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Prior to Pregnancy,0.4,129876,1,1
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Prior to and During Pregnancy,0.5,129876,1,1
